latitude,longitude,result
51.57478,7.03116,route 342 from Gelsenkirchen Fachhochschule to Herne Wanne-Eickel Hauptbahnhof
51.57467,7.03106,route 342 from Gelsenkirchen Fachhochschule to Herne Wanne-Eickel Hauptbahnhof
51.57406,7.03208,route 342 from Gelsenkirchen Fachhochschule to Herne Wanne-Eickel Hauptbahnhof
51.57278,7.03335,route 342 from Gelsenkirchen Fachhochschule to Herne Wanne-Eickel Hauptbahnhof
51.573638,7.037283,route 399 from Gelsenkirchen Fachhochschule to Gelsenkirchen Buer Rathaus
51.573656,7.037390,route 399 from Gelsenkirchen Fachhochschule to Gelsenkirchen Buer Rathaus
51.573696,7.037560,route 399 from Gelsenkirchen Fachhochschule to Gelsenkirchen Buer Rathaus
51.573691,7.037711,route 399 from Gelsenkirchen Fachhochschule to Gelsenkirchen Buer Rathaus
51.573752,7.037899,route 399 from Gelsenkirchen Fachhochschule to Gelsenkirchen Buer Rathaus
51.573798,7.038074,route 399 from Gelsenkirchen Fachhochschule to Gelsenkirchen Buer Rathaus
51.573852,7.038265,route 399 from Gelsenkirchen Fachhochschule to Gelsenkirchen Buer Rathaus
51.573920,7.038500,route 399 from Gelsenkirchen Fachhochschule to Gelsenkirchen Buer Rathaus
51.573993,7.038732,route 399 from Gelsenkirchen Fachhochschule to Gelsenkirchen Buer Rathaus
51.574058,7.038974,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.574114,7.039121,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.574153,7.039264,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.574192,7.039401,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.574235,7.039540,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.574285,7.039675,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.574342,7.039819,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.574384,7.039967,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.574452,7.040080,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.574526,7.040214,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.574581,7.040360,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.574630,7.040500,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.574695,7.040628,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.574751,7.040744,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.574809,7.040869,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.574905,7.041068,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.574974,7.041189,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.575051,7.041288,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.575110,7.041407,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.575189,7.041553,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.575278,7.041716,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.575372,7.041885,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.575494,7.042046,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.575595,7.042231,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.575699,7.042408,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.575798,7.042604,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.575891,7.042837,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.575978,7.043074,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576052,7.043325,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576100,7.043568,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576158,7.043799,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576213,7.044024,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576269,7.044253,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576328,7.044495,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576391,7.044758,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576455,7.045024,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576516,7.045270,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576572,7.045491,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576638,7.045700,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576686,7.045896,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576724,7.046074,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576746,7.046222,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576765,7.046403,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576781,7.046622,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576797,7.046868,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576804,7.047149,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576841,7.047439,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576840,7.047602,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576867,7.047748,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576878,7.047904,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576871,7.048170,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576868,7.048379,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576862,7.048536,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576780,7.048600,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576674,7.048644,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576538,7.048679,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576390,7.048761,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576292,7.048775,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576120,7.048831,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.575990,7.048895,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.575907,7.048972,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.575793,7.049064,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.575776,7.049243,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.575832,7.049400,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.575928,7.049547,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576040,7.049693,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576152,7.049875,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576268,7.050093,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576318,7.050225,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576367,7.050349,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576443,7.050612,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576508,7.050843,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576560,7.051016,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576593,7.051167,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576631,7.051342,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576683,7.051505,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576727,7.051707,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576766,7.051917,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
